wikidata_id,name,imdb_id
Q956642,Claudio von Planta,nm1392160
Q957569,Aldo Tonti,nm0005905
Q957926,John Mathieson,nm0558822
Q951018,Darius Khondji,nm0451787
Q952023,Charles Minsky,nm0591665
Q955982,Osmond Borradaile,nm0097306
Q956193,Pierre Clémenti,nm0167509
Q944642,Simon Fellows,nm1415540
Q949330,Paweł Edelman,nm0248997
Q634059,Archie Stout,nm0005887
Q638941,Lajos Koltai,nm0005759
Q639084,Ardeshir Irani,nm0409781
Q640142,Alexander Drankov,nm0237084
Q1380910,Ted Moore,nm0601924
Q1381489,Garrett Brown,nm0113593
Q85349,Eduard von Borsody,nm0902025
Q86018,Helmut Ashley,nm0005640
Q86102,Thomas Mauch,nm0560761
Q325970,Christian Matras,nm0559300
Q328403,Leo Tover,nm0869860
Q328489,Dan Laustsen,nm0491565
Q1396023,Howard Atherton,nm0040460
Q1396116,Otto Baecker,nm0046286
Q1396327,Fritz von Friedl,nm0902264
Q1396531,Milton Krasner,nm0005762
Q1397362,Vanessa Vandy,nm9569962
Q958139,Henri Alekan,nm0002162
Q958200,Erik Poppe,nm0691547
Q958587,Frank Hurley,nm0403439
Q1576498,Hanns Matula,nm0005788
Q1577104,Hans-Günther Bücking,nm0127263
Q1578900,Hans Burmann,nm0005663
Q1579407,Hans F. Koenekamp,nm0462800
Q1579624,Hans Fromm,nm0296362
Q1580134,Hans Heinz Theyer,nm1245968
Q1227953,Dirk Lütter,nm2053844
Q1227985,Dirk Morgenstern,nm1143907
Q1229477,Guglielmo Garroni,nm0308526
Q1229636,Oliver Sechting,nm3647533
Q940393,Luc Jacquet,nm0415207
Q942647,Otto Heller,nm0005740
Q942779,Jesper Høm,nm0406071
Q944140,Claudio Miranda,nm0592073
Q963628,Vilmos Zsigmond,nm0005936
Q965067,Gunnar Fischer,nm0005705
Q961121,Ricardo Aronovich,nm0005638
Q962142,Alfio Contini,nm0005671
Q962442,Martin Parr,nm1502440
Q1212620,Mihály Mátray,nm0617373
Q1213003,András Mész,nm0598408
Q1214315,József Nagy,nm0619482
Q1216453,Tamás Nemescsói,nm0625903
Q1216866,Ferenc Neményi,nm1331008
Q1218907,Emil Novák,nm0637297
Q1221825,Dieter Deventer,nm0222329
Q1222371,Dieter Köster,nm2002677
Q1222980,Dieter Wedekind,nm0917147
Q690973,Alfred Gilks,nm0005720
Q691335,Arnaud Desplechin,nm0221611
Q938904,Grant Gee,nm0311532
Q939296,Václav Vích,nm0005921
Q939716,Elwood Bredell,nm0106608
Q940328,Jonathan Freeman,nm0293455
Q86913,Erik Durschmied,nm0244385
Q87267,Hans Theyer,nm0005900
Q87548,Rudolf Steiner,nm0825997
Q87665,Hans Jura,nm0005750
Q1589275,Monty Berman,nm0002627
Q1590541,Norberto Barba,nm0053157
Q1590675,Michael Marszalek,nm0551383
Q1592970,Ian Wilson,nm0933510
Q1597443,Heinrich Gärtner,nm0005733
Q704287,Mike Cahill,nm2648685
Q1375311,John A. Alonzo,nm0002166
Q1375642,Floyd Crosby,nm0005677
