wikidata_id,name,imdb_id
Q275900,Joe Hisaishi,nm0386749
Q355835,Mathieu Amalric,nm0023832
Q355899,G. P. Sippy,nm0802688
Q355957,Keita Amemiya,nm0023859
Q228792,Dianna Agron,nm1872698
Q228865,Mia Wasikowska,nm1985859
Q23547,Bryan Cranston,nm0186505
Q275343,Tara Subkoff,nm0836964
Q275346,Rachida Brakni,nm1021224
Q275381,Filoteo Alberini,nm1135106
Q87253,Ernst Gossner,nm0002478
Q87267,Hans Theyer,nm0005900
Q87282,Veit Helmer,nm0375691
Q87283,Arthur Bergen,nm0074029
Q87329,Titus Leber,nm0495616
Q19526,Maya Angelou,nm0029723
Q87117,Rainer Simon,nm0800347
Q87118,Andrea Maria Dusl,nm1227424
